type,title,kids,id,by,descendants,time,score,text
story,Ask HN/Lazyweb: Favorite rust projects/canonical examples to learn from,[15729489],15728416,a-dub,1,2017-11-18-11:48:44,16,"I&#x27;m starting to become more interested in rust and I believe that the best way to learn a thing is to study good applications of it.  As I don&#x27;t know much at all about the rust ecosystem, I am not qualified to determine what is good, and I&#x27;m lazy.  So... what&#x27;s good?  What are some good examples of sufficiently complicated rust applications that either a) do a very good job of subscribing to rust dogma or b) do a very good job of hacking around the darker corners to achieve a goal where a canonical example would have been unsuitable?"
story,Ask HN: Side project ideas,"[15734264, 15732769]",15732765,sfilargi,1,2017-11-19-09:37:54,5,"I have a couple ideas for side projects and would love to get feedback.<p>The ideas are:<p>1. A poor-man’s cloud storage. The idea is that instead paying monthly for cloud storage you buy this small IoT device and connect usb drives on IT and your files are available to you over the internet. If you want redundancy you can choose to backup you drives to the drives of other users(encrypted of course).<p>2. A back to basics email service. Text only, whitelist only, with unlimited random one time email addresses. Emails will not reach the user’s inbox unless the sender’s email is explicitly whitelisted(or the user has emailed them first). For online registrations user’s will be able to request one time emails. Nothing fancy really."
story,Ask HN: What can we do to defend net-neutrality?,"[15730992, 15730731, 15729004, 15730388, 15728995]",15727166,cdiddy2,17,2017-11-18-02:54:13,34,With the upcoming vote in december things are dire. What can we as a community do to defend the internet?
story,Why Doesn't US Make 2 Year Warranty on Products Mandatory Like EU?,"[15726802, 15726724, 15725911, 15726775, 15730196, 15728086, 15727977, 15727598, 15726798]",15725753,csurya,20,2017-11-17-22:35:45,13,
story,Ask HN: Is anyone here actually against Net Neutrality?,"[15731428, 15731805, 15731631, 15731418, 15734735, 15732029, 15731362]",15731320,jefflombardjr,15,2017-11-19-01:38:30,7,"Is anyone here against Net Neutrality?<p>Genuinely curious. It seems anyone who I&#x27;ve talked to is supportive of Net Neutrality or uninformed.<p>If they&#x27;re uninformed, as soon as I explain that Comcast will essentially be able to do the same thing as cell data providers, charge for overages, and mention how this might affect Netflix. They are quickly for Net Neutrality.<p>The reason I ask is supposedly a vote is happening next week.<p>http:&#x2F;&#x2F;mashable.com&#x2F;2017&#x2F;11&#x2F;17&#x2F;net-neutrality-thanksgiving&#x2F;#85OkRymkMmqG
https:&#x2F;&#x2F;www.battleforthenet.com&#x2F;"
story,Ask HN: How to Build a Portfolio as a #MachineLearning Engineer?,[15730680],15729218,__Julia,1,2017-11-18-17:11:45,7,"Hi! I am a Data Science&#x2F;Machine Learning engineer and I&#x27;d like to ask few questions regarding Data Science Portfolio. I find this [article](http:&#x2F;&#x2F;varianceexplained.org&#x2F;r&#x2F;start-blog&#x2F;) helpful.<p>My question is about blogging, research papers, and open source projects.<p>- I am intending to start blogging as well. While I use FB&#x2F;Twitter to express my interest and opinion, I am willing to keep my blog as a space to showcase open source experiments. In this case, do you see it as a duplication (Open Source on Github with Readme file + blogpost on how to re-build things and lessons learnt ). The idea behind the blog and the website is to find a new a job, so it would be a place to show what I can do. My interest and work is around data science and data engineering.<p>- I interned at research Centers (R&amp;D), so I was involved in writing and publishing some papers. As an engineer, do you find (Applied data science ) papers helpful in my career (papers that doesn&#x27;t come with novel ML ideas, but novel ways to apply ML).<p>- If you are manager, recruiter or an interviewer, what do you want to see in the resume of a data science engineer ?. I have mixed signals, some people want to see more in-depth knowledge of data science, and others skills on how to process, query and analyze datasets.<p>- Do you have examples of good data science portfolios. Feel free to share links."
story,Ask HN: Fastest/easiest framework to build a web application in 2017?,"[15716133, 15723258, 15718667, 15725168, 15715773, 15715806, 15724899, 15716336, 15715904, 15721554, 15718816, 15717205, 15719534, 15723367, 15728593, 15720366, 15718543, 15715767, 15724924, 15717996]",15715547,ryanSrich,36,2017-11-16-21:11:21,34,What are the current recommendations for rapidly building a web application? Back in the day it used to be Rails. It seems like Phoenix is picking up steam.<p>Are there any other full-stack frameworks that take you from nothing to something fairly robust in a few hours?
story,Ask HN: Best conferences in Europe 2018?,"[15731814, 15732801]",15730743,pedrorijo91,2,2017-11-18-23:15:35,8,"Best conferences in Europe in 2018?<p>Looking for interesting software engineering conferences in 2018 to hunt for tickets already, both with general theme and focused on specific technology stacks. Do you have some favorites?"
story,Ask HN: What technology earned you the most money?,"[15718283, 15728345, 15718412, 15731577, 15725961, 15726480, 15725732, 15728555, 15726886, 15725435]",15717789,tonteldoos,10,2017-11-17-01:52:47,14,"Hi HNers,<p>We all know what technologies (hardware, software, etc) is popular based on TIOBE, StackOverflow surveys, news, etc.<p>However, in your career, what technology has actually earned you the most money?  This can be hardware, software, systems, over contract jobs, fulltime employment, or side projects.  It could even be a niche product.<p>By &#x27;most money&#x27;, I don&#x27;t necessarily mean as an absolute amount - it could also be on a per hour, or per project and time spent on the project.<p>Surprise us!"
story,Ask HN: Why are supercomputers all running Linux and not BSD?,"[15711846, 15712677, 15711835, 15711819, 15715340, 15711755, 15713876, 15712068, 15712458, 15711870, 15711783, 15711691, 15711743, 15716065, 15717995]",15711418,dbosch,75,2017-11-16-11:49:01,132,
story,Tips for foreign founders to succeed in the US,"[15731111, 15730910]",15730225,qhoang09,2,2017-11-18-21:19:00,5,"Hi all,
http:&#x2F;&#x2F;www.businessinsider.com&#x2F;french-entrepreneur-on-what-it-took-for-americans-to-take-him-seriously-2017-11<p>I shared in that article what it took to get Americans to take us, foreign founders, seriously. 
I&#x27;m talking about our 2 min meeting with Michael Seibel that changed the trajectory of our startup, about why Jason Lemkin trusted us in the beginning and how we hired our first American hire.
Obviously, I have only one data point, my own experience, so I&#x27;d be happy to hear from you about this particular topic.<p>Cheers!"
story,Ask HN: Best Digital Product Seller Like Gumroad or SendOwl?,"[15733849, 15728338, 15728405]",15728174,deadcoder0904,16,2017-11-18-09:51:20,7,"I want to sell some digital products like apps. So Gumroad makes it easy but it takes a lot of money when I make a lot. I want to sell 10 products till next month &amp; there after the products will increase from 10 to 50 to 100.<p>1. So I want to ask will it be worth it to use Gumroad or SendOwl. It seems Gumroad takes a large chunk of money when u make a lot.<p>2. When Gumroad &amp; similar services take 3.5% of my money, do Paypal&#x2F;Stripe also take a chunk out of my remaining money ?<p>3. Am I better off building my own custom Paypal&#x2F;Stripe Checkout form ?"
story,Thanks Mozilla Firefox,"[15732953, 15724779, 15732108, 15722086, 15724093, 15721459, 15721456, 15720606]",15720474,diminish,8,2017-11-17-11:26:13,40,"This morning I woke up - feeling good for some reason which then I remembered: I had installed Firefox 57 on Ubuntu and Android and experienced the new speed. It may seem a small update in some small open source software but it results in an improvement in the lives of hundreds of millions of people in 1 day.<p>So thanks Mozilla, Firefox and open source software in general."
story,Ask HN: What are the best tools for code reviews?,"[15723518, 15723821, 15734303, 15723467, 15723333, 15723312, 15723435, 15723596, 15723236, 15723595, 15724733, 15728424, 15728455, 15723327, 15728436, 15723403, 15723434, 15723558, 15723420, 15723499, 15723490, 15723445, 15725158, 15723994, 15723262, 15723983, 15724099, 15723991]",15722849,arjun27,52,2017-11-17-17:43:57,63,
story,Ask HN: What's your .bashrc?,"[15726590, 15720479, 15721298, 15726306, 15722909, 15721890, 15719527, 15729497]",15719240,nol13,9,2017-11-17-07:33:38,15,What are some good aliases to make annoying things less annoying for me?
story,Ask HN: What are the best resources to learn Product Design?,"[15723478, 15727505, 15723876, 15724519, 15724074, 15723787]",15722485,dbosch,9,2017-11-17-17:06:49,46,
story,Ask HN: Does your Alexa or Google Home make you more productive?,"[15727182, 15727172, 15727033, 15726771, 15727134, 15727375, 15727621, 15727332, 15726848, 15727583, 15727828, 15727543, 15727412]",15726545,free_everybody,13,2017-11-18-00:33:24,9,It seems like one of the main reasons to get a voice assistant is to increase productivity. Is it worth the cost?
story,Ask HN: Career change at age 30?,"[15729757, 15730023, 15729571, 15729816, 15729579, 15732104, 15729985, 15729487, 15733848]",15729439,throwawayy88,10,2017-11-18-17:56:07,17,"I am not satisfied with the current job, customer service. There is no future in it for me. I am not doing anything in the current job, that will help me grow. I feel killing myself everyday.<p>I love to build stuff. I want to quit and start afresh. What career will be the best at the age of 30?"
story,Ask HN: How to archive online articles,"[15728552, 15728689, 15728610]",15728535,jdowner,3,2017-11-18-12:49:59,5,"Often, after reading an article online, I want to be able to archive the contents of the article for future reference or to add notes. Obviously I could just save the webpage, but I was wondering if anyone knows of a service or application that can extract the contents of a online article (ideally into a text-based format like markdown)."
story,Ask HN: Why does HN show the score of posts?,"[15729273, 15728225, 15729565]",15727687,wunderlust,2,2017-11-18-05:58:04,6,"I&#x27;ve noticed that when I look at a post I&#x27;m occasionally more inclined to upvote when the score of the post is high (or perhaps higher than when I last visited HN).<p>This is a disposition of my own, of course, but now I wonder why the score is there at all. Or at least why it&#x27;s shown on the main page.<p>Is it possible other readers also have this disposition to upvote a post that is trending or has a (relatively) high score?<p>What would happen if the score wasn&#x27;t shown at all?<p>(I should probably note that I don&#x27;t have down-vote privileges, but I&#x27;m not sure what factor that has in this context.)"
story,10 Honest Thoughts on VCs,"[15717575, 15717978, 15722111, 15712519]",15710276,thisathrowaway,8,2017-11-16-06:31:17,28,"1. Think of investors on the bell curve. Most of them are in the middle, 25% at the bottom, and 25% at the top. You only want the top 5%. Hint: look at returns.<p>2. Investors look at the same decks and do the same number crunching. The ones that consistently choose the right companies have something that the other VCs do not.<p>3. The VCs that are good understand companies in a way that is beyond metrics. They are intuitive. You don’t want a VC that is obsessing over numbers. You want a VC that sees beyond and trusts themselves enough to take risk.<p>4. There are great partners at VC firms, but, ultimately, they have to serve that VC firm. Make sure the culture of that VC firm is a good one. That culture will impact that partner and that partner will impact you.<p>5. VCs don’t like to admit that they are primarily money people. The fancy offices, coffee, etc. is all about putting in small money and later getting out big money. Don’t kid yourself into thinking it is more than that.<p>6. VCs will say anything to get into your company if it is hot. They can be like a high school kid trying to get laid. If they think they can get you, then they’ll say whatever they need to say. They just want to get laid...sorry paid.<p>7. Being a VC is not glamorous. Most of them are unfortunately not happy. It is competitive. They compare themselves a lot. Look at the life they live. Do you want that kind of life?<p>8. Most VCs are not terribly insightful (see #1) and all VCs will make poor judgement calls. The best ones own up to it. The lousy ones deny their mistakes.<p>9. VC&#x27;s control the company. Even the very smart people that have “hacked” the SV system still serve investors. You have to keep them happy. If you have to keep them happy, then you are not in control.<p>10. The best VCs are conflicted about VC. They know how it can crush a founder or company. This bothers them, but they deny it and keep rolling forward."
story,Ask HN: Is it right to give 1 month notice for switching to remote position?,"[15726016, 15734630, 15726716, 15731379, 15731687, 15727110, 15726063, 15726064]",15725927,aliencat,10,2017-11-17-23:03:37,7,"I work as a system admin for a private company in Canada.<p>I recently had notified my employer that I am leaving the country for 4 months and want to work remotely during this time. I have made up my mind that if they are not ok then I will just quit, because I really need the time away.<p>The top management were not happy, not happy at all, even though my manager is ok with it. They said that I should have informed them months in advanced, instead of leaving them a hole to cover up. And now they have to offer me the position because they have no choice and cannot hire another person at this time.<p>Now my question is: Am I at fault here to give a month of notice in advance. I quit my last job with 2 weeks notice and my boss was ok with it. But this is different, because I am asking to continue working.<p>Thanks!"
story,Ask HN: How can I use my web development skills for space exploration/tech?,"[15726166, 15726769, 15726137, 15726253, 15726277, 15728166, 15726310, 15726863, 15725968, 15726284, 15726217, 15726024]",15725849,djellybeans,42,2017-11-17-22:52:11,55,"I&#x27;d like to work as part of the space exploration industry, at least in some way to contribute however I can. I don&#x27;t have a scientific or engineering background in the professional sense, but I have programming experience, mostly in web development. I&#x27;m more interested in getting a job in it, than participate in open source projects. How can I apply these skills to join a company that is doing work related to space exploration and its related technology?<p>Edit: I want to add that web development is not the only kind of programming that I do. But this is what I&#x27;ve done for 90% of my work."
story,Ask HN: Experience with profit sharing?,"[15731633, 15720780, 15718576]",15718449,ian0,4,2017-11-17-04:19:57,7,"We have considering profit sharing VS ESOP for employees as:<p>- Profit sharing is tangible
 - We monetise from the start and can roll down KPIs
 - Many of our employees would struggle to understand an ESOP scheme
 - Those that understand equity undervalue it
 - Those that understand options discount them completely :P<p>Wondering have anyone here has implemented or taken part in one:<p>- Did it have any impact with regards to fund raising?
 - Did it have any impact on exiting?
 - Did it make it harder to attract new employees at any stage?
 - Any best practices we should take into account?<p>We are weighting it on join-date &#x2F; risk taken not seniority. We still maintain a small ESOP scheme for advisors."
story,Ask HN: What service do you use for audio conference calls?,"[15717957, 15718263, 15718465, 15717761, 15718266, 15718567, 15718173, 15718224, 15717709, 15718326, 15718666, 15718221, 15718268, 15718300, 15718184, 15718257, 15721507, 15718656, 15717966]",15717701,blairanderson,43,2017-11-17-01:37:11,31,and what website do you use to quickly find a good breakdown of services for a given problem?<p>finding that conference call systems are either free (bare-bones and super limited) or ++$150&#x2F;year for every feature on the planet.<p>I want audio conference calls with more than 5 participants and longer than 40 minutes.
story,Ask HN: Career change at 22,"[15730462, 15730486, 15730455, 15730570, 15730517, 15730416, 15730412, 15730497, 15730562, 15730621, 15730406, 15730418, 15730471, 15730451, 15730450, 15731644, 15730463, 15730512, 15730660, 15730670, 15730863, 15730589, 15730626, 15730826, 15730444, 15730545, 15731348, 15730477, 15730563, 15730466, 15730482, 15730485, 15730603, 15730652, 15730439, 15730440, 15730583, 15730528, 15731159, 15730628, 15730598, 15730464, 15731835, 15730633, 15730521, 15730459]",15730308,nativelukas,60,2017-11-18-21:41:46,40,"Hello,
I am currently 22 years old, studying Computer Science. I&#x27;ve been focusing on web development for almost ten years. I&#x27;ve built up a freelance business with active clients and also tried to work as a Front-end developer for a year in small digital agency.<p>After years I am not satisfied with web development and it doesn&#x27;t make me happy. I can see really young, inexperienced people going into this business, things are changing really fast and there&#x27;s no methodology, no &quot;scientific&quot; way to do it. I can say that web development is somehow punk business with many &quot;script kids&quot; involved.<p>The second thing I don&#x27;t like about the job is lack of social contact. You spend big amount of time in front of a computer and when you want to be the best you have to spend even your free time alone. When you look at those best developers, they look kind of awkward, they don&#x27;t have communication skills and I feel like this is not the way I want to go.<p>Also the third thing that bothers me is the fact that developers are becoming new blue-collar workes (see https:&#x2F;&#x2F;www.wired.com&#x2F;2017&#x2F;02&#x2F;programming-is-the-new-blue-collar-job&#x2F;) since it&#x27;s kind of easy to learn how to code. You also don&#x27;t need any certification or license. I see that many IT students do have this blue-collar mentality. They dress badly, they swear alot, simply they look like people from lower social classes. This is what bothers me. When I was younger I really appriciated this &quot;punk&quot; side of the IT. Now I hate it.<p>What I am thinkin about is career change to medicine. I am interested in human body and would enjoy studying it. Also medicine as a field seems to be more mature and traditional.<p>Do some of you see it similarly or do you have different opinion? What do you think about it?"
story,Ask HN: Alternative consulting contracts,[15729105],15729033,shireboy,1,2017-11-18-16:22:46,7,"I am a software developer with 15+ years working for a small consulting company based in the US.  We have traditionally done &quot;time and materials&quot; contracts where the customer gets an estimate for the project, then pays an hourly rate for the initial development and any future support.<p>This has worked OK, but often people will want &quot;sweat equity&quot; contracts.  They have an idea we could build, but don&#x27;t have capital to pay us.  We usually turn them down.  However, I would like to offer some services to these people in a way that benefits us both, especially if I see potential in the idea.   I see lots of this question _from the entrepreneur&#x27;s perspective_, but not so much from the consultants&#x27;.<p>So my question to HN consultants:  besides a flat hourly rate, are there other contract schemes you recommend (or avoid)? Are there things you insist on or avoid in sweat equity deals?<p>To entrepreneurs: If you wanted consultants to develop software for equity, or build an MVP, etc., what would you want the contract to look like?  Are there things you insist on or avoid in sweat equity deals?"
